sandstorm_budget,initial_water,initial_food,robust_score,baseline_failure_rate,baseline_mean_penalized_value,baseline_p05,adverse_failure_rate,adverse_mean_penalized_value,adverse_p05
4,240,240,9785.5375,0.003,10549.77,8915.0,0.008,9945.5375,8650.0
4,230,240,9763.825,0.003,10496.005,8865.0,0.005,9863.825,8600.0
4,230,250,9736.855,0.002,10592.6125,8820.0,0.006,9856.855,8550.0
3,230,240,9709.705,0.006,10880.755,8905.0,0.019,10089.705,8670.0
3,240,240,9649.7275,0.005,10932.2975,9637.5,0.024,10129.7275,8645.0
3,220,240,9632.37,0.005,10624.61,8855.0,0.011,9852.37,8047.5
5,240,240,9616.485,0.001,10151.85,8810.0,0.001,9636.485,8580.0
3,220,250,9588.6425,0.005,10589.5375,8805.0,0.011,9808.6425,7997.5
3,220,230,9565.09,0.006,10527.635,8900.0,0.013,9825.09,8097.5
3,230,230,9557.4225,0.007,10573.155,8950.0,0.017,9897.4225,8702.5
3,230,250,9539.9875,0.007,10963.82,8855.0,0.025,10039.9875,8600.0
3,220,260,9539.1925,0.005,10539.7875,8755.0,0.011,9759.1925,7947.5
3,240,230,9532.8475,0.007,10548.33,8925.0,0.017,9872.8475,8677.5
5,230,250,9500.5375,0.001,10162.81,8745.0,0.001,9520.5375,7972.5
5,230,240,9495.02,0.001,10067.5875,8795.0,0.0,9515.02,8022.5
3,220,270,9489.7425,0.005,10490.0375,8705.0,0.011,9709.7425,7897.5
4,230,230,9469.6475,0.002,10217.2925,8880.0,0.008,9629.6475,8627.5
4,240,230,9444.8475,0.002,10192.3425,8855.0,0.008,9604.8475,8602.5
4,220,240,9442.8025,0.003,10214.82,8785.0,0.005,9542.8025,7972.5
4,220,250,9398.625,0.003,10187.1575,8735.0,0.005,9498.625,7922.5
4,220,230,9394.8575,0.002,10132.02,8865.0,0.006,9514.8575,8022.5
4,220,260,9348.875,0.003,10137.3075,8685.0,0.005,9448.875,7872.5
4,220,270,9299.125,0.003,10087.4575,8635.0,0.005,9399.125,7822.5
3,220,220,9288.5225,0.001,10293.4425,8955.0,0.016,9608.5225,8072.5
3,230,220,9263.9225,0.001,10268.4675,8930.0,0.016,9583.9225,8047.5
3,240,220,9239.3225,0.001,10243.4925,8905.0,0.016,9559.3225,8022.5
6,240,240,9224.54,0.0,9742.885,8077.5,0.0,9224.54,7900.0
3,210,220,9217.9975,0.002,10202.1175,8940.0,0.014,9497.9975,8022.5
3,250,220,9214.7225,0.001,10218.5175,8880.0,0.016,9534.7225,7997.5
5,230,230,9207.2025,0.0,9817.885,8152.5,0.003,9267.2025,7927.5
4,220,220,9186.725,0.001,9882.29,8227.5,0.006,9306.725,7997.5
5,240,230,9182.2775,0.0,9792.885,8127.5,0.003,9242.2775,7902.5
3,210,230,9170.5125,0.004,10269.345,8855.0,0.016,9490.5125,7972.5
4,230,220,9161.875,0.001,9857.315,8202.5,0.006,9281.875,7972.5
4,240,220,9137.025,0.001,9832.34,8177.5,0.006,9257.025,7947.5
3,210,240,9126.885,0.004,10241.8125,8805.0,0.016,9446.885,7922.5
4,250,220,9112.175,0.001,9807.365,8152.5,0.006,9232.175,7922.5
6,230,240,9079.3175,0.0,9630.7675,8027.5,0.0,9079.3175,7722.5
3,210,250,9077.685,0.004,10192.0125,8755.0,0.016,9397.685,7872.5
5,220,240,9069.8375,0.0,9735.945,8052.5,0.002,9109.8375,7747.5
5,220,230,9061.905,0.0,9705.7675,8102.5,0.003,9121.905,7797.5
6,230,250,9055.54,0.0,9660.945,7977.5,0.0,9055.54,7672.5
4,210,220,9044.715,0.001,9771.065,8177.5,0.006,9164.715,7837.5
3,210,260,9028.485,0.004,10142.2125,8705.0,0.016,9348.485,7822.5
5,220,250,9020.775,0.0,9690.2925,8002.5,0.002,9060.775,7697.5
4,210,230,8990.44,0.001,9801.2925,8127.5,0.007,9130.44,7747.5
3,210,270,8979.285,0.004,10092.4125,8655.0,0.016,9299.285,7772.5
5,220,260,8970.875,0.0,9640.2925,7952.5,0.002,9010.875,7647.5
4,210,240,8941.6275,0.001,9755.69,8077.5,0.007,9081.6275,7697.5
3,210,280,8930.085,0.004,10042.6125,8605.0,0.016,9250.085,7722.5
3,210,210,8921.8025,0.004,9921.2425,8280.0,0.017,9261.8025,8067.5
5,220,270,8920.975,0.0,9590.2925,7902.5,0.002,8960.975,7597.5
5,220,220,8898.9175,0.001,9438.43,8147.5,0.001,8918.9175,7847.5
3,220,210,8897.2275,0.004,9896.3425,8255.0,0.017,9237.2275,8042.5
4,210,250,8891.9775,0.001,9705.74,8027.5,0.007,9031.9775,7647.5
4,210,210,8882.2775,0.001,9513.355,8222.5,0.004,8962.2775,7900.0
5,230,220,8873.9425,0.001,9413.455,8122.5,0.001,8893.9425,7822.5
3,230,210,8872.6525,0.004,9871.4425,8230.0,0.017,9212.6525,8017.5
4,220,210,8857.3775,0.001,9488.38,8197.5,0.004,8937.3775,7875.0
5,240,220,8848.9675,0.001,9388.48,8097.5,0.001,8868.9675,7797.5
3,240,210,8848.0775,0.004,9846.5425,8205.0,0.017,9188.0775,7992.5
5,210,220,8847.215,0.001,9383.0725,8150.0,0.001,8867.215,7797.5
4,210,260,8842.3275,0.001,9655.79,7977.5,0.007,8982.3275,7597.5
4,230,210,8832.4775,0.001,9463.405,8172.5,0.004,8912.4775,7850.0
6,230,230,8825.415,0.0,9373.095,8072.5,0.001,8845.415,7772.5
5,250,220,8823.9925,0.001,9363.505,8072.5,0.001,8843.9925,7772.5
3,250,210,8823.5025,0.004,9821.6425,8180.0,0.017,9163.5025,7967.5
4,240,210,8807.5775,0.001,9438.43,8147.5,0.004,8887.5775,7825.0
6,240,230,8800.44,0.0,9348.095,8047.5,0.001,8820.44,7747.5
3,260,210,8798.9275,0.004,9796.7425,8155.0,0.017,9138.9275,7942.5
4,210,270,8792.6775,0.001,9605.84,7927.5,0.007,8932.6775,7547.5
4,250,210,8782.6775,0.001,9413.455,8122.5,0.004,8862.6775,7800.0
7,240,240,8779.9425,0.0,9298.095,7997.5,0.0,8779.9425,7697.5
3,200,210,8779.645,0.003,9818.7675,8247.5,0.017,9119.645,7375.0
5,210,230,8775.0575,0.001,9374.33,8100.0,0.002,8815.0575,7747.5
6,220,230,8773.7125,0.0,9317.7625,8080.0,0.001,8793.7125,7722.5
4,200,210,8772.0575,0.001,9457.9975,8225.0,0.006,8892.0575,7450.0
4,260,210,8757.7775,0.001,9388.48,8097.5,0.004,8837.7775,7775.0
3,200,220,8756.7175,0.003,9851.915,8197.5,0.017,9096.7175,7325.0
4,210,280,8743.0275,0.001,9555.89,7877.5,0.007,8883.0275,7497.5
6,220,240,8733.19,0.0,9308.97,8030.0,0.001,8753.19,7672.5
4,200,220,8730.9475,0.001,9449.255,8175.0,0.006,8850.9475,7400.0
7,230,240,8728.265,0.0,9242.7625,8005.0,0.0,8728.265,7652.5
5,210,240,8725.1575,0.001,9326.06,8050.0,0.002,8765.1575,7697.5
3,200,230,8708.405,0.003,9806.3325,8147.5,0.017,9048.405,7275.0
7,230,250,8687.6925,0.0,9233.97,7955.0,0.0,8687.6925,7602.5
6,220,250,8683.24,0.0,9260.65,7980.0,0.001,8703.24,7622.5
4,200,230,8681.2475,0.001,9400.985,8125.0,0.006,8801.2475,7350.0
5,210,250,8675.2575,0.001,9276.11,8000.0,0.002,8715.2575,7647.5
3,200,240,8659.255,0.003,9756.4825,8097.5,0.017,8999.255,7225.0
6,220,260,8633.29,0.0,9210.65,7930.0,0.001,8653.29,7572.5
4,200,240,8631.5475,0.001,9351.035,8075.0,0.006,8751.5475,7300.0
5,210,260,8625.3575,0.001,9226.16,7950.0,0.002,8665.3575,7597.5
3,200,250,8610.105,0.003,9706.6325,8047.5,0.017,8950.105,7175.0
6,220,270,8583.34,0.0,9160.65,7880.0,0.001,8603.34,7522.5
4,200,250,8581.8475,0.001,9301.085,8025.0,0.006,8701.8475,7250.0
5,210,270,8575.4575,0.001,9176.21,7900.0,0.002,8615.4575,7547.5
3,200,260,8560.955,0.003,9656.7825,7997.5,0.017,8900.955,7125.0
3,190,200,8541.58,0.005,9493.2275,8292.5,0.016,8861.58,7370.0
4,200,260,8532.1475,0.001,9251.135,7975.0,0.006,8652.1475,7200.0
5,210,280,8525.5575,0.001,9126.26,7850.0,0.002,8565.5575,7497.5
5,210,210,8519.06,0.0,9036.405,7505.0,0.001,8539.06,7275.0
3,200,270,8511.805,0.003,9606.9325,7947.5,0.017,8851.805,7075.0
3,200,200,8509.53,0.005,9547.8875,8275.0,0.019,8889.53,7350.0
5,200,210,8500.415,0.0,9048.1,7455.0,0.001,8520.415,7295.0
5,220,210,8494.085,0.0,9011.405,7480.0,0.001,8514.085,7250.0
3,210,200,8485.005,0.005,9523.0125,8250.0,0.019,8865.005,7325.0
4,200,270,8482.4475,0.001,9201.185,7925.0,0.006,8602.4475,7150.0
6,220,220,8472.8875,0.0,8961.405,7430.0,0.0,8472.8875,7200.0
3,190,210,8470.8725,0.005,9482.0,8242.5,0.017,8810.8725,7320.0
5,230,210,8469.11,0.0,8986.405,7455.0,0.001,8489.11,7225.0
3,200,280,8462.655,0.003,9557.0825,7897.5,0.017,8802.655,7025.0
5,200,220,8462.28,0.0,9045.665,7405.0,0.001,8482.28,7245.0
3,220,200,8460.48,0.005,9498.1375,8225.0,0.019,8840.48,7300.0
4,190,200,8457.045,0.002,9105.1,7530.0,0.005,8557.045,7370.0
6,210,220,8454.2675,0.0,8973.1,7380.0,0.0,8454.2675,7220.0
3,190,190,8448.67,0.003,9152.855,7585.0,0.008,8608.67,7420.0
6,230,220,8447.8875,0.0,8936.405,7405.0,0.0,8447.8875,7175.0
5,240,210,8444.135,0.0,8961.405,7430.0,0.001,8464.135,7200.0
3,230,200,8435.955,0.005,9473.2625,8200.0,0.019,8815.955,7275.0
4,200,280,8432.7475,0.001,9151.235,7875.0,0.006,8552.7475,7100.0
3,200,190,8423.87,0.003,9127.93,7560.0,0.008,8583.87,7395.0
6,240,220,8422.8875,0.0,8911.405,7380.0,0.0,8422.8875,7150.0
3,190,220,8421.7225,0.005,9434.01,8192.5,0.017,8761.7225,7270.0
5,250,210,8419.16,0.0,8936.405,7405.0,0.001,8439.16,7175.0
4,200,200,8418.085,0.002,9093.455,7580.0,0.007,8558.085,7350.0
6,210,230,8416.0825,0.0,8970.665,7330.0,0.0,8416.0825,7170.0
5,200,230,8412.33,0.0,8997.42,7355.0,0.001,8432.33,7195.0
3,240,200,8411.43,0.005,9448.3875,8175.0,0.019,8791.43,7250.0
3,210,190,8399.07,0.003,9103.005,7535.0,0.008,8559.07,7370.0
7,230,230,8398.685,0.0,8886.405,7355.0,0.0,8398.685,7125.0
6,250,220,8397.8875,0.0,8886.405,7355.0,0.0,8397.8875,7125.0
5,260,210,8394.185,0.0,8911.405,7380.0,0.001,8414.185,7150.0
4,210,200,8393.26,0.002,9068.505,7555.0,0.007,8533.26,7325.0
4,190,210,8389.0125,0.002,9102.765,7480.0,0.006,8509.0125,7260.0
3,250,200,8386.905,0.005,9423.5125,8150.0,0.019,8766.905,7225.0
