weather_model,persistence,in_ambiguity_set,policy,initial_water,initial_food,sandstorm_budget,samples,successes,failures,failure_rate,mean_value,median_value,p05_value,minimum_value,maximum_value,mean_arrival_day,mean_penalized_value,penalized_p05_value,failure_wilson_low,failure_wilson_high,mean_penalized_ci_low,mean_penalized_ci_high,risk_budget,wilson_pass
基准,0.0,True,IID效率策略_B5_240_240,240,240,5,30000,29996,4,0.00013333333333333334,10160.579660621415,9952.5,8810.0,7600.0,14027.5,12.168855847446325,10159.224916666666,8810.0,5.1851912478668907e-05,0.00034281284526397373,10148.670389971392,10169.77944336194,0.002,True
基准,0.0,True,分布鲁棒策略,240,240,9,30000,30000,0,0.0,8333.47775,8237.5,7200.0,6750.0,11430.0,10.0109,8333.47775,7200.0,1.3552527156068805e-20,0.00012803223300477719,8323.84844970017,8343.10705029983,0.002,True
基准,0.15,True,IID效率策略_B5_240_240,240,240,5,30000,29942,58,0.0019333333333333333,10178.372687195244,9952.5,8770.0,6675.0,15100.0,12.228141072740632,10158.6945,8765.0,0.0014959863049228278,0.0024982175367809977,10145.63418078523,10171.75481921477,0.002,False
基准,0.15,True,分布鲁棒策略,240,240,9,30000,29999,1,3.3333333333333335e-05,8373.947131571053,8237.5,7130.0,6595.0,11430.0,10.102603420114004,8373.668,7130.0,5.884176064944674e-06,0.00018880618812429888,8362.8515559525,8384.484444047499,0.002,True
基准,0.35,True,IID效率策略_B5_240_240,240,240,5,30000,29791,209,0.006966666666666667,10203.830854956195,9952.5,8425.0,6520.0,15100.0,12.277835587929241,10132.744166666667,8055.0,0.006086536577457283,0.00797304507310096,10115.103079653523,10150.385253679811,0.002,False
基准,0.35,True,分布鲁棒策略,240,240,9,30000,29987,13,0.0004333333333333333,8435.115716810618,8237.5,7120.0,6450.0,11430.0,10.217060726314736,8431.4605,7120.0,0.00025327029077139014,0.0007413176476314494,8418.838060283953,8444.082939716045,0.002,True
基准,0.7,False,IID效率策略_B5_240_240,240,240,5,30000,28845,1155,0.0385,10330.863581209915,9912.5,7917.5,6445.0,15100.0,12.427283758016987,9933.125333333333,7467.5,0.036381253903935235,0.04073691984712817,9900.571219372634,9965.679447294033,0.002,False
基准,0.7,False,分布鲁棒策略,240,240,9,30000,29558,442,0.014733333333333333,8624.191504837945,8237.5,6975.0,6445.0,11430.0,10.52087421341092,8497.128416666666,6895.0,0.013430761831019513,0.01616016438551939,8476.387699750383,8517.86913358295,0.002,False
不利,0.0,True,IID效率策略_B5_240_240,240,240,5,30000,29900,100,0.0033333333333333335,9674.779765886287,9767.5,8645.0,6605.0,14790.0,12.26020066889632,9642.5305,8627.5,0.002741640191513669,0.004052205159937743,9631.147655836534,9653.913344163468,0.005,True
不利,0.0,True,分布鲁棒策略,240,240,9,30000,30000,0,0.0,7964.203,8055.0,7050.0,6445.0,11430.0,10.219766666666667,7964.203,7050.0,1.3552527156068805e-20,0.00012803223300477719,7955.698770992319,7972.707229007682,0.005,True
不利,0.15,True,IID效率策略_B5_240_240,240,240,5,30000,29733,267,0.0089,9687.170483974036,9740.0,8477.5,6520.0,15020.0,12.324050718057377,9600.954666666667,7997.5,0.007898311501926415,0.010027441757330877,9585.928544114624,9615.98078921871,0.005,False
不利,0.15,True,分布鲁棒策略,240,240,9,30000,29993,7,0.00023333333333333333,7999.923815556964,8047.5,7045.0,6520.0,11430.0,10.324742439902645,7998.0571666666665,7045.0,0.0001130332325217011,0.00048160591877434054,7988.372073692956,8007.742259640377,0.005,True
不利,0.35,True,IID效率策略_B5_240_240,240,240,5,30000,29331,669,0.0223,9684.253179230165,9717.5,7917.5,6445.0,15100.0,12.339674746854863,9468.294333333333,7772.5,0.020689278730770092,0.02403304326464267,9447.242702499141,9489.345964167525,0.005,False
不利,0.35,True,分布鲁棒策略,240,240,9,30000,29941,59,0.0019666666666666665,8049.186733910023,8007.5,6970.0,6445.0,11430.0,10.454260044754685,8033.356666666667,6970.0,0.0015250920772352618,0.0025357698956530294,8021.384594524309,8045.328738809024,0.005,True
不利,0.7,False,IID效率策略_B5_240_240,240,240,5,30000,27895,2105,0.07016666666666667,9768.431260082452,9075.0,7682.5,6445.0,15100.0,12.2926689370855,9083.013,0.0,0.06733097701587308,0.07311242136043335,9047.569280084936,9118.456719915066,0.005,False
不利,0.7,False,分布鲁棒策略,240,240,9,30000,29061,939,0.0313,8265.86516293314,7637.5,6820.0,6445.0,11430.0,10.66219331750456,8007.1435833333335,6605.0,0.0293888217454756,0.03333119566974307,7984.384427787619,8029.902738879048,0.005,False
